node_key,name,category,prize_year
"akasaki, isamu","akasaki, isamu",Physics,2014
"amano, hiroshi","amano, hiroshi",Physics,2014
"bardeen, j","bardeen, j",Physics,1972
"beadle, gw","beadle, gw",Medicine,1958
"curie, i","curie, i",Chemistry,1935
"hauptman, h","hauptman, h",Chemistry,1985
"joliot, f","joliot, f",Chemistry,1935
"kajita, t","kajita, t",Physics,2015
"karle, j","karle, j",Chemistry,1985
"koshiba, m","koshiba, m",Physics,2002
"kusch, p","kusch, p",Physics,1955
"penzias, aa","penzias, aa",Physics,1978
"rabi, ii","rabi, ii",Physics,1944
"reines, f","reines, f",Physics,1995
"schawlow, al","schawlow, al",Physics,1981
"schrieffer, jr","schrieffer, jr",Physics,1972
"schwartz, m","schwartz, m",Physics,1988
"shockley, w","shockley, w",Physics,1956
"steinberger, j","steinberger, j",Physics,1988
"tatum, el","tatum, el",Medicine,1958
"townes, ch","townes, ch",Physics,1964
"wilson, rw","wilson, rw",Physics,1978
